0 1 2 3 4 5 6 7
0 -0.17780489 -0.79262716 -0.29124463 -0.14573903 -0.06948744 0.045228273 -0.11591635 0.31336775
1336 -0.13187736 -0.7863851 -0.27828643 0.0069238073 -0.05165503 -0.027770013 0.01514287 0.3462078
435 -0.21541865 -0.803606 -0.2578359 -0.33562973 -0.08208528 0.09081618 -0.28241244 0.2979584
553 -0.20453712 -0.78139544 -0.30493188 -0.35552514 -0.08876418 0.097387046 -0.32258874 0.2928715
1775 -0.16016383 -0.8313825 -0.26044372 -0.15739144 -0.054290522 0.05254002 -0.13356255 0.31402823
569 -0.2773485 -0.5181417 -0.24676904 -0.26837373 -0.11613748 0.18971342 -0.44367266 0.22740598
1653 -0.15204453 -1.0361639 -0.34621 -0.45103112 -0.05747609 0.09260684 -0.2308966 0.326483
1730 -0.23193187 -0.73278147 -0.29373989 -0.4440221 -0.11575698 0.16589414 -0.44541964 0.25998884
469 -0.14813122 -0.7884222 -0.23926803 0.2031773 -0.01850227 -0.10313716 0.201805 0.39345863
526 -0.22453696 -0.5566422 -0.25417045 -0.13933344 -0.12648436 0.09446366 -0.28394988 0.26411846
772 -0.13491197 -0.79371786 -0.23170076 0.31226626 -0.04056709 -0.13965617 0.28677478 0.4009394
758 -0.31578344 -0.41728973 -0.2530254 -0.33441013 -0.17492665 0.25593013 -0.6445954 0.18422703
862 0.030774873 -1.9003146 -0.49783066 -0.7387652 0.020037226 -0.033725545 0.021732287 0.52301925
1562 -0.114278466 -1.1657822 -0.367057 -0.57090116 -0.073884256 0.0955855 -0.26834124 0.35520586
1677 -0.36030844 -0.258571 -0.20239228 -0.12221561 -0.15446083 0.20119607 -0.5561108 0.18067352
34 -0.21760808 -0.8176992 -0.3389113 -0.58771425 -0.14271222 0.22272252 -0.56509364 0.26066813
1773 -0.4367375 -0.16299543 -0.18048848 -0.250289 -0.19222927 0.29430822 -0.7990758 0.11736326
710 -0.07690142 -1.3241768 -0.4063947 -0.51768845 -0.026319334 0.027514808 -0.07323638 0.4075285
270 -0.044521652 -1.4531167 -0.42221534 -0.5631812 0.005200121 0.008739191 -0.0510488 0.45709303
355 -0.4353248 -0.01523092 -0.15651463 0.013031756 -0.21044046 0.22043596 -0.6211469 0.1698565
1399 0.020975625 -1.8428508 -0.46344003 -0.76465 -0.014437168 -0.003268355 -0.019969573 0.5148048
254 -0.020857746 -1.2612852 -0.35796893 -0.12041356 0.003021951 -0.0914277 0.23408018 0.4481244
745 -0.278376 -0.3037834 -0.20529719 0.031690925 -0.14666682 0.133539 -0.37834617 0.22295453
499 -0.17143981 -0.6576059 -0.2304989 0.17659123 -0.059225094 -0.032467626 0.06979889 0.34067106
767 -0.44333163 0.08976551 -0.14404894 0.19954047 -0.1846504 0.19299202 -0.5425857 0.17297445
687 0.0844141 -1.9891784 -0.5500849 -0.5711882 0.12549883 -0.13682236 0.23514342 0.6239967
1112 -0.0037738273 -1.4567025 -0.38700357 -0.1658633 0.030661581 -0.14808507 0.32457483 0.48609182
138 -0.7358105 0.36900294 -0.24050063 -0.42147887 -0.29340443 0.6661338 -1.2710669 0.1522968
812 -0.49673137 -0.21877429 -0.24815288 -0.5594449 -0.23686151 0.44810542 -1.0631939 0.099580795
1030 -0.48807862 -0.0025417735 -0.17037849 -0.23124783 -0.2303619 0.3512083 -0.8733704 0.1204341
774 -0.49610955 0.13809848 -0.1751565 -0.022589749 -0.24131525 0.32233125 -0.7657298 0.14038473
1688 -0.0020045943 -1.9589162 -0.44205996 -0.9005418 -0.10166888 0.022935763 -0.09962943 0.51068246
552 -0.10530052 -1.0115731 -0.26648888 0.48916844 -0.002561783 -0.2858974 0.57138705 0.50619394
522 -0.12232969 -1.1386143 -0.2950299 0.6253581 -0.0013174934 -0.38213325 0.75874114 0.59980655
64 -0.40237674 -0.37983885 -0.29566437 -0.5851076 -0.21480495 0.38259634 -0.95414066 0.13157375
452 -0.0030746567 -1.5394734 -0.41588637 -0.5795277 0.000977217 -0.01016658 -0.013844448 0.45632383
1326 -0.7862406 0.41685274 -0.28774193 -0.5278612 -0.2755284 0.7475086 -1.399069 0.19477801
318 0.036341745 -1.6565617 -0.43482357 -0.2037477 0.08424284 -0.17547181 0.40020365 0.5492828
1639 -0.49324825 0.21502644 -0.15330583 0.19879921 -0.2272245 0.2679142 -0.64993626 0.16925548
706 0.118351 -2.191458 -0.61251575 -0.516126 0.21151085 -0.21600041 0.38812166 0.6954621
1136 -0.55023 0.17187458 -0.18672158 -0.26715064 -0.26696864 0.46789205 -0.99704075 0.12847383
1204 -0.11844625 -1.234646 -0.33360246 0.6868319 0.017401578 -0.44174647 0.85391575 0.6530507
593 -0.54317313 0.24490802 -0.14511248 -0.053769916 -0.26403636 0.42474616 -0.8518985 0.1596625
1052 -0.26894057 -0.33014828 -0.20241264 0.28054303 -0.11148938 0.03225194 -0.11159174 0.25836402
269 0.6902173 0.9915632 1.9241939 -1.5221645 -1.5376202 2.8212385 -1.1351653 3.4132895
1236 -0.040030263 -1.4126831 -0.41867206 -0.5730439 -0.04094836 0.05576031 -0.11685051 0.41353944
1596 -0.46592122 0.15892777 -0.14605619 0.35399926 -0.18911448 0.14256635 -0.47505206 0.21056633
960 2.7431438 1.4873083 -2.3051872 -0.20502852 0.117561325 1.3170676 -2.5705385 2.4474223
689 0.002942296 -1.6768608 -0.46561185 -0.7429172 -0.028559951 0.05058691 -0.095023654 0.48103347
432 -0.67916536 0.18922582 -0.26868615 -0.5949842 -0.29653436 0.6637461 -1.3481313 0.12648565
901 -0.38187018 -0.043047905 -0.16697331 0.20909372 -0.16039401 0.14726871 -0.41538474 0.18342671
861 -0.5554411 -0.03152599 -0.22543532 -0.5331558 -0.26439986 0.49959967 -1.1707997 0.109098434
595 -0.11974989 -1.3249015 -0.34226343 0.7689001 0.033197194 -0.45257774 0.94815433 0.68590856
573 3.085587 1.5926207 -2.6052482 -0.2368608 0.16821165 1.4946663 -2.6900935 2.7712173
482 0.084846646 -1.9597596 -0.5167011 -0.29549122 0.14656322 -0.20975617 0.4996513 0.64184886
1605 -0.5519696 -0.28380004 -0.3328823 -0.8278918 -0.26111105 0.5632917 -1.303296 0.10991405
230 0.23389578 -1.8249538 -0.5954195 -0.4151641 0.1813887 -0.18250737 0.048328504 0.6179483
1356 -0.12123759 -1.3883564 -0.3554359 0.8105849 0.041975297 -0.48589906 1.0091305 0.72621024
571 0.100611985 -1.7567897 -0.4185344 -0.46849132 -0.009856698 -0.066899404 0.2070864 0.5683703
1412 2.3220232 -3.9572346 2.5248454 1.3928382 -2.4000134 -1.7921587 -4.0355334 0.17900777
303 0.14170809 -2.4987254 -0.7243207 -0.55468297 0.3090944 -0.24833293 0.5056279 0.78970665
1646 2.6471152 -4.309849 2.9455197 1.6835827 -2.747664 -2.003762 -4.586087 0.1527926
1416 0.17488332 -2.6567678 -0.7887145 -0.57818943 0.35320842 -0.27521533 0.53778607 0.8655714
72 1.7688007 1.176764 -1.8249823 -0.50528187 -0.14938045 1.2811925 -2.3849983 1.6822165
716 -0.62529224 -0.09821421 -0.30073607 -0.80645007 -0.2843542 0.62909514 -1.4235152 0.10299038
421 -0.41271794 0.04748517 -0.22243223 0.453861 -0.12941277 0.09913223 -0.302177 0.21960577
830 0.05500005 -1.7224346 -0.4215886 -0.50303745 -0.016581388 -0.06845565 0.16106705 0.54835755
1318 -0.4709118 -0.4861848 -0.32459533 -0.898758 -0.2496439 0.49324265 -1.1987717 0.14798467
267 1.8822577 1.0156136 -0.5922094 -0.7932875 -0.20873581 3.2266421 -1.3044256 2.8675015
1436 2.8912375 -4.63111 3.361693 1.937709 -3.0996916 -2.1363904 -5.0555825 0.07444416
1498 1.129485 -2.334458 -1.2553529 -0.42198867 0.7231609 0.31288862 -0.049828656 1.1896465
268 3.1796224 1.3967799 -2.3880699 0.271583 0.32228893 1.0618606 -2.2134302 2.6993334
59 4.2374334 2.1234643 -2.9902666 -0.6817647 -0.6637988 2.2585146 -2.622818 4.1916585
817 0.035562728 -2.1381106 -0.5164979 -1.0462062 -0.059677787 0.07884387 -0.08330742 0.55090445
111 0.11008598 -2.0043406 -0.52532166 -0.35944855 0.11771545 -0.18212447 0.47656384 0.64647615
1581 3.0568535 -4.859581 3.73908 2.2159572 -3.4250007 -2.1719282 -5.428551 -0.03072821
76 2.132271 1.060653 -0.6428457 -0.9270764 -0.37961888 3.3548157 -1.2928267 3.2878356
1133 -0.62406963 -0.37219024 -0.3935928 -1.0853528 -0.26440978 0.69244975 -1.4883628 0.1351516
166 2.4032319 1.1134217 -0.85945547 -0.9979361 -0.68415856 3.3296068 -1.1293979 3.5951989
996 -0.45450178 0.23645498 -0.19295831 0.3258096 -0.21503593 0.20777123 -0.56635344 0.19680217
404 -0.080997884 -1.3997929 -0.35727867 0.84647304 0.10156415 -0.47047472 0.9991885 0.7372174
1550 3.6156218 1.4291741 -2.6104898 0.29732925 0.41231754 1.2065868 -2.4100165 2.8438199
