,0,1
0,개포고교,0
1,양지사거리,1
2,미래초교,2
3,한스타워,3
4,화곡고가사거리,4
5,효창공원앞역,5
6,화계유치원,6
7,영등포시장,7
8,방화초교,8
9,공릉역,9
10,동묘앞역,10
11,올림픽대교남단,11
12,화계사입구,12
13,구로남초교입구,13
14,서울강서대학교입구,14
15,서울대입구,15
16,송중동주민센터,16
17,북한남삼거리,17
18,정릉터널동측(내부순환로),18
19,미양초교,19
20,성수역,20
21,구남초교,21
22,정릉3동주민센터앞,22
23,경복궁교차로,23
24,육영학교입구,24
25,신정교동단,25
26,이화여대부속고교,26
27,중랑경찰서,27
28,상암삼거리,28
29,국회의사당역,29
30,월드컵경기장삼거리,30
31,개화교,31
32,석촌호수,32
33,이문고가차도(북측),33
34,구역삼세무서,34
35,여의2교,35
36,온수역,36
37,상계중앙시장,37
38,목운초교,38
39,명덕초교,39
40,안양천로_염창IC,40
41,경서농협개봉역지점,41
42,제기동한신아파트,42
43,신월지하차도,43
44,청년창업플러스센터,44
45,신곡시장,45
46,6번국도 서울강서-경기부천 경계,46
47,장승배기,47
48,목일중학교앞,48
49,성락빌딩앞,49
50,암사역입구,50
51,조흥은행전농동지점,51
52,암사IC(북측),52
53,상원초교,53
54,양천경찰서,54
55,양남사거리,55
56,원당초교입구,56
57,도림펌프장앞,57
58,독산사거리,58
59,잠실대교남단,59
60,성동문화원앞,60
61,월계라이프아파트,61
62,광화문,62
63,목동청학스포츠타운,63
64,역삼역,64
65,근로자회관,65
66,강일IC동측(올림픽대로),66
67,여의도선착장,67
68,영등포로타리,68
69,은평뉴타운10단지,69
70,홍대입구역,70
71,당산초교,71
72,올림픽대로동부간선JC,72
73,서울문화고교,73
74,경기여고앞,74
75,서울대입구역,75
76,잠실철교북단,76
77,송파중교,77
78,우이동,78
79,국회북문,79
80,가든파이브툴동,80
81,올림픽대교북단교차로,81
82,DMC 이안상암1단지,82
83,서울고교,83
84,반포고가차도,84
85,오금동사거리,85
86,이화약국,86
87,목동청소년수련관,87
88,구기터널동측,88
89,당고개길남양주시계,89
90,당고개역,90
91,서울출입국관리사무소,91
92,도림교,92
93,연희교차로,93
94,신이문역,94
95,아리랑고개입구,95
96,창동교,96
97,상봉시장앞,97
98,소리공원,98
99,홍은사거리,99
100,녹천중교,100
101,당현초교(동부간선도로),101
102,SC제일은행,102
103,민마루고개,103
104,회기역(2번출구),104
105,강일동입구,105
106,디지털미디어시티역,106
107,당산중교앞,107
108,외국어대,108
109,노들역,109
110,정릉램프(내부순환로본선),110
111,영동2교교차로,111
112,문래공원,112
113,북악산로입구,113
114,효성인텔리안,114
115,월계1교서측,115
116,강북구청,116
117,트럭터미널앞,117
118,영등포경찰서,118
119,여의하류IC,119
120,월릉교동측,120
121,도원삼성래미안아파트,121
122,안암2교,122
123,신의쉐르빌,123
124,행당중학교,124
125,반포IC북측경부고속진입,125
126,화랑대사거리,126
127,홍연2교서측,127
128,삼전사거리,128
129,수명파크3단지,129
130,송파사거리,130
131,뚝섬정수장앞,131
132,창4동주민센터,132
133,숭례문,133
134,마포대교북단,134
135,답십리초교,135
136,도로교통공단,136
137,상도역,137
138,영동대교남단교차로,138
139,면목역,139
140,구로초교,140
141,양재IC남측(경부선부산방향합류),141
142,영동대교북단고가차도,142
143,두산대림아파트,143
144,홈플러스목동점,144
145,외환은행군자지점앞,145
146,월곡역,146
147,신답역,147
148,대륭포스트타워5차,148
149,신용산초교,149
150,둔촌동역,150
151,탄천1교동측,151
152,로마교황청대사관,152
153,오륜사거리,153
154,동곡삼거리,154
155,한양대부속고등학교,155
156,경남아파트앞,156
157,일원역,157
158,화곡로입구,158
159,목동13단지,159
160,신수중학교,160
161,오금공원,161
162,광희동사거리,162
163,도봉산역,163
164,당산현대아파트,164
165,방이사거리,165
166,올림픽대교북단,166
167,신묵초교,167
168,잠원IC북측,168
169,구로소방서,169
170,구로1교,170
171,한일병원,171
172,성동교남단,172
173,홍은램프(내부순환도로),173
174,수서IC,174
175,긴고랑종점,175
176,잠실3사거리,176
177,남부법원검찰청,177
178,수정아파트입구,178
179,동작역,179
180,경찰청앞,180
181,여의도공원앞,181
182,방배고개,182
183,여의교,183
184,천호사거리,184
185,겸재삼거리,185
186,방학사거리,186
187,반포3동주민센터,187
188,중화중학교,188
189,원효로현대자동차서비스,189
190,주공6단지,190
191,동평화시장,191
192,탄천IC진출(동부간선도로),192
193,신정빗물펌프장,193
194,홍남교남측,194
195,홍은램프진입(내부순환로),195
196,목운중학교,196
197,마장역,197
198,길음역,198
199,마곡나루역,199
200,강동구청역,200
201,난향초교,201
202,성락주유소앞,202
203,서빙고역,203
204,동대문세무서,204
205,신트리공원앞,205
206,잠원IC,206
207,미아사거리,207
208,종로3가,208
209,KT정보전산센터,209
210,조원동주민센터앞,210
211,신길광장공원앞,211
212,회기역앞,212
213,역말사거리,213
214,잠실대교남단교차로,214
215,연가교(동측),215
216,우장공원입구교차로,216
217,정릉4동주민센터,217
218,선암IC양재대로진출,218
219,부일로부천시계,219
220,서초터널입구부,220
221,망우리고개(서울-구리시계),221
222,사근삼거리,222
223,동1로지하차도,223
224,새절역,224
225,북한산성입구,225
226,숭곡초교,226
227,서울역,227
228,시립서북병원,228
229,화곡로부천시계,229
230,선암IC,230
231,역촌사거리,231
232,수궁동주민센터,232
233,덕성여대기숙사,233
234,구수동사거리,234
235,영희초교,235
236,서울과학기술대입구,236
237,공항동천주교회앞,237
238,부암동주민센터,238
239,한국산업기술협회,239
240,도림청구아파트,240
241,성수사거리,241
242,잠사회관앞,242
243,신이문역앞,243
244,국악고교앞,244
245,강변유원아파트,245
246,교남파출소,246
247,중평초교,247
248,공릉초교,248
249,서강대교남단,249
250,고촌IC(남측),250
251,동성아파트앞,251
252,중계근린공원,252
253,영등포경남아파트,253
254,대지초교,254
255,목동역,255
256,우장산공원입구,256
257,행현초등학교,257
258,신월초교입구,258
259,은평병원,259
260,삼성교서측,260
261,은천삼거리,261
262,혜화동로터리,262
263,세종아파트앞,263
264,남산2호터널북단,264
265,창의문앞,265
266,아현초등학교,266
267,잠실대교북단,267
268,종합운동장후문,268
269,영동대교북단,269
270,양재전화국,270
271,잠실주공2단지,271
272,종암SK아파트,272
273,모래내지하차도(남측),273
274,DMC파크뷰APT,274
275,서울과학기술대,275
276,안국역,276
277,중화역,277
278,상암초교,278
279,동호대교북단,279
280,고덕소방파출소,280
281,성수대교북단교차로,281
282,신금호역,282
283,대림동우성아파트,283
284,신월IC서측(경인고속인천방향합류),284
285,대우드림타운,285
286,용산2가동주민센터,286
287,신당역,287
288,상계6.7동주민센터,288
289,북가좌사거리,289
290,이촌역앞,290
291,중원초교앞,291
292,철산리버빌주공아파트,292
293,성산램프(내부순환로),293
294,장지교,294
295,동아일보하단,295
296,포이사거리,296
297,성내초교,297
298,보문사입구,298
299,성산대교북단,299
300,마천사거리,300
301,성공회대입구,301
302,서울용암초등학교,302
303,영동1교남단,303
304,뚝도시장,304
305,강서초교,305
306,대광중고교,306
307,목동12단지,307
308,삼일교,308
309,장안중학교,309
310,서울역광장,310
311,금호빌딩,311
312,남구로역,312
313,상일주공5단지,313
314,수정빌라,314
315,사근램프앞,315
316,석관고교,316
317,수서IC(동부간선도로),317
318,강남수도사업소,318
319,신정6동주민센터,319
320,신사동고개사거리,320
321,디지털미디어시티앞,321
322,응암역,322
323,창일중학교,323
324,문정동현대아파트,324
325,여의도한양아파트앞,325
326,청운초등학교앞,326
327,목동5단지상가,327
328,시계(천호대로),328
329,서울신용평가정보,329
330,월계1교동측,330
331,한양대병원,331
332,서울숲푸르지오아파트,332
333,역마라거리,333
334,중곡사거리,334
335,마포소방서,335
336,응암오거리,336
337,후암삼거리,337
338,세검정,338
339,목마공원,339
340,서강대교북단,340
341,버티고개삼거리,341
342,공덕오거리,342
343,북부여성발전센터,343
344,은평터널(남측),344
345,서울시의회,345
346,증산3교,346
347,하계지하보차도,347
348,대륭테크노타운,348
349,목동5단지,349
350,명동성당,350
351,광진교북단,351
352,시흥대교 서단(광명),352
353,워커힐입구,353
354,성산대교남단,354
355,선릉역,355
356,월계역입구,356
357,복정교차로,357
358,풍납사거리,358
359,관악구청,359
360,뉴코아백화점,360
361,온곡초교,361
362,녹사평역,362
363,종로보건소앞,363
364,광평교,364
365,과학수사연구소입구,365
366,함지박사거리,366
367,성산진입램프(내부순환로),367
368,신대방삼거리역,368
369,위례별초교,369
370,염천교,370
371,내방역,371
372,문래역,372
373,박가네생고기,373
374,고덕역,374
375,북가좌초교사거리,375
376,방화역,376
377,은행사거리,377
378,잠실새내역,378
379,거여역,379
380,사직공원,380
381,일영송추사거리,381
382,청원초교,382
383,와산교,383
384,한천교,384
385,신창제일교회,385
386,한국수출입은행,386
387,동명근린공원,387
388,미주아파트앞,388
389,망우역,389
390,이화교동단,390
391,디지털미디어시티입구,391
392,답십리1동,392
393,원효대교북단,393
394,명지대입구,394
395,동부제강입구,395
396,방학중학교,396
397,토평삼거리,397
398,서이초교,398
399,용산전자상가,399
400,성수대교북단,400
401,시계(수색로),401
402,중화초교,402
403,YTN미디어 센터,403
404,일원터널,404
405,공릉터널,405
406,양천문화회관공영주차장,406
407,문래동남성아파트,407
408,통일로고양시계,408
409,명동입구,409
410,이마트,410
411,정릉입구,411
412,반포주공아파트(올림픽대로),412
413,개화동로진입(올림픽대로),413
414,공진초중교,414
415,신설동역,415
416,상수진출입(강변북로),416
417,영문초교,417
418,성산분기점(내부순환로),418
419,신방화역,419
420,한국전력강서지점,420
421,대치동우성아파트,421
422,목동8단지아파트,422
423,목동9단지,423
424,수산트리플아파트,424
425,중계지하차도,425
426,은평터널삼거리,426
427,내곡터널성남시계,427
428,부동산,428
429,창천동삼거리,429
430,수색역,430
431,서울지방경찰청,431
432,청담사거리,432
433,상계근린공원,433
434,장한평역,434
435,영동4교,435
436,정곡초교,436
437,봉천터널입구부,437
438,한국건설생활환경시험연구원,438
439,방화대교남단(88JC),439
440,롯데알미늄,440
441,구의고가차도,441
442,중앙대학교,442
443,신촌로터리,443
444,강일IC서측(올림픽대로),444
445,난지도종합처리,445
446,사천교동측,446
447,서울시체육회,447
448,도봉보건소,448
449,서울시립대앞,449
450,강동고교입구,450
451,e-테크벨리오피스텔,451
452,싸리고개공원입구,452
453,구의시장,453
454,창림초교,454
455,상계초교입구,455
456,노원경찰서,456
457,을지로3가,457
458,장지동사무소,458
459,동양미래대학,459
460,서울교남단,460
461,신동아아파트,461
462,개봉1동사거리,462
463,봉화산역,463
464,동부간선도로강변북로분기점,464
465,신림2교,465
466,브라운스톤암사,466
467,우이초등학교,467
468,서교동주민센터,468
469,개포2동주민센터,469
470,서강대앞,470
471,광진교남단,471
472,청담대교남단,472
473,구로현대로얄아파트,473
474,마장동주민센터,474
475,시계(서오릉로),475
476,난지천공원입구,476
477,위례22단지,477
478,르네스병원,478
479,관악우체국,479
480,제기동역,480
481,이화사거리,481
482,영동2교북단,482
483,우이초등교앞,483
484,한남IC,484
485,신도림고가차도(북측),485
486,장안동사거리,486
487,양천문화회관,487
488,한일유앤아이앞,488
489,관악터널입구부,489
490,옥수역,490
491,주공14단지아파트,491
492,여의도지구대,492
493,금천구청역삼거리,493
494,용산등기소,494
495,중랑소방서,495
496,외대앞역,496
497,목동2.3단지,497
498,사당역,498
499,영동6교,499
500,금호동벽산아파트삼거리,500
501,신교동교차로,501
502,수출의다리,502
503,동서울호텔,503
504,시립동부병원앞,504
505,미아리고개,505
506,남부터미널역,506
507,용마사거리,507
508,양강중교앞,508
509,한산초교,509
510,신한은행방학지점,510
511,노원성당,511
512,선유중고교,512
513,국방연구원,513
514,노원교(서단),514
515,목동10-12단지,515
516,서울숲입구,516
517,길동사거리앞,517
518,월릉IC(북부간선도로),518
519,응봉교,519
520,고덕공무원아파트,520
521,이대역,521
522,대청역,522
523,청한빌라앞,523
524,등촌1-10단지,524
525,국민일보,525
526,대치역,526
527,광장사거리,527
528,오금사거리,528
529,을지로3가역,529
530,봉천터널출구부,530
531,효창공원,531
532,한림고등학교,532
533,돈암1동주민센터,533
